时刻   状态       pose.en  Curl  握拳度R  握拳度L   CurrentSpeed
-----------------------------------------------------------------
== 比值 > 1.45 的帧 ==
 1.33   Atk2Rec   Y    30     1.547    1.340     0.00
 1.34   Atk2Rec   Y    30     1.547    1.330     0.00
 1.34   Atk2Rec   Y    30     1.547    1.323     0.06
 1.35   Atk2Rec   Y    30     1.547    1.313     0.08
 1.36   Atk2Rec   Y    30     1.547    1.304     0.08
 1.36   Atk2Rec   Y    30     1.547    1.296     0.07
 1.37   Atk2Rec   Y    30     1.547    1.285     0.10
 1.38   Atk2Rec   Y    30     1.547    1.277    15.20
 1.39   Atk2Rec   Y    30     1.547    1.289    14.91
 1.39   Atk2Rec   Y    30     1.547    1.306    14.60
 1.40   Atk2Rec   Y    30     1.547    1.326    14.28
 1.41   Atk2Rec   Y    30     1.547    1.352    13.96
 1.41   Atk2Rec   Y    30     1.547    1.384    13.64
 1.42   Atk2Rec   Y    30     1.547    1.418    13.35
 1.43   Atk2Rec   Y    30     1.547    1.465    13.02
 1.43   Atk2Rec   Y    30     1.547    1.521    12.68
 1.44   Atk3      Y    30     1.547    1.566    12.39
 1.45   Atk3      Y    30     1.547    1.568    12.04
 1.45   Atk3      Y    30     1.547    1.568    11.74
 1.46   Atk3      Y    30     1.547    1.569    11.42
 1.47   Atk3      Y    30     1.547    1.570    11.12
 1.48   Atk3      Y    30     1.547    1.571    10.74
 1.48   Atk3      Y    30     1.547    1.572    10.47
 1.49   Atk3      Y    30     1.547    1.573    10.17
 1.50   Atk3      Y    30     1.547    1.575     9.80
 1.50   Atk3      Y    30     1.547    1.577     9.51
 1.51   Atk3      Y    30     1.547    1.576     9.18
 1.52   Atk3      Y    30     1.547    1.571     8.90
 1.52   Atk3      Y    30     1.547    1.562     8.57
 1.53   Atk3      Y    30     1.547    1.550     8.24
 1.54   Atk3      Y    30     1.547    1.535     7.92
 1.54   Atk3      Y    30     1.547    1.517     7.58
 1.55   Atk3      Y    30     1.547    1.496     7.27
 1.56   Atk3      Y    30     1.547    1.473     6.91
 1.57   Atk3      Y    30     1.547    1.457     6.63
 1.57   Atk3      Y    30     1.547    1.443     6.28
 1.58   Atk3      Y    30     1.547    1.433     6.00
 1.59   Atk3      Y    30     1.547    1.424     5.66
 1.59   Atk3      Y    30     1.547    1.418     5.34
 1.60   Atk3      Y    30     1.547    1.416     5.02
